"ensemble" "local_corr_tmin" "local_corr_tmax" "extent_space" "extent_time" "irrep_col" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "boot_r" "pion_decay_constant_val" "pion_decay_constant_boot"
"1787" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 339 0.0656252842493917 0.0656254028858227
"1788" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 340 0.0656252842493917 0.065631206764636
"1789" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 341 0.0656252842493917 0.065633256735547
"1790" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 342 0.0656252842493917 0.0656276053584411
"1791" "cA2.30.48" 20 40 48 96 1 3 "jackknife" 500 1 1 343 0.0656252842493917 0.0656318914064184
"1792" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 1 0.0704676151511088 0.0704748590014336
"1793" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 2 0.0704676151511088 0.0704643607353313
"1794" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 3 0.0704676151511088 0.0704828354547894
"1795" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 4 0.0704676151511088 0.0704832671883567
"1796" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 5 0.0704676151511088 0.0704672227274337
"1797" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 6 0.0704676151511088 0.070464201938986
"1798" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 7 0.0704676151511088 0.0704745797339416
"1799" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 8 0.0704676151511088 0.0704743198621272
"1800" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 9 0.0704676151511088 0.0704777040785545
"1801" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 10 0.0704676151511088 0.0704751400061355
"1802" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 11 0.0704676151511088 0.0704770613291606
"1803" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 12 0.0704676151511088 0.0704666945778864
